ticker,company_name,match_kind,recovered_cik,n_eps_records,earliest_period_end
MOLX,Molex,exact,0000067472,44.0,2009-09-30
MON,Monsanto,exact_ambiguous,0001110783,148.0,2008-11-30
MRO,Marathon Oil,exact_ambiguous,0000101778,96.0,2008-06-30
MWW,Monster Worldwide,exact,0001020416,76.0,2009-06-30
NBL,Noble Energy,exact,0000072207,76.0,2008-06-30
NOVL,Novell,exact,0000758004,4.0,2009-07-31
NSM,National Semiconductor,exact,0000070530,6.0,2009-08-30
NVLS,Novellus Systems,exact,0000836106,20.0,2009-06-27
NYX,NYSE Euronext,exact,0001368007,30.0,2008-03-31
PBCT,People's United Financial,exact,0001378946,172.0,2008-06-30
PCL,Plum Creek Timber,exact,0000849213,28.0,2010-06-30
PCP,Precision Castparts Corporation,exact,0000079958,87.0,2008-06-29
PDCO,Patterson Companies,exact_ambiguous,0000891024,170.0,2009-07-25
PETM,PetSmart,exact_ambiguous,0000863157,52.0,2009-08-02
PGN,Progress Energy,exact_ambiguous,0001094093,22.0,2008-06-30
PLL,Pall Corporation,exact,0000075829,30.0,2009-10-31
PXD,Pioneer Natural Resources,exact,0001038357,66.0,2008-06-30
QEP,QEP Resources,exact,0001108827,122.0,2010-03-31
RAI,Reynolds American,exact,0001275283,114.0,2008-06-30
RDC,Rowan Companies,exact_ambiguous,0000085408,28.0,2008-06-30
RE,Everest Re,exact,0001095073,182.0,2009-06-30
RHT,Red Hat,exact_ambiguous,0001087423,126.0,2009-05-31
RSH,RadioShack,exact,0000096289,44.0,2009-03-31
RTN,Raytheon Company,exact_ambiguous,0001047122,144.0,2008-06-29
SAI,SAIC,exact,0001336920,156.0,2009-04-30
SCG,SCANA,exact,0000754737,62.0,2009-06-30
SHLD,Sears Holdings,exact,0001310067,76.0,2010-05-01
SIAL,Sigma-Aldrich,exact_ambiguous,0000090185,40.0,2008-06-30
SIVB,SVB Financial Group,exact,0000719739,156.0,2009-06-30
SNI,Scripps Networks Interactive,exact,0001430602,100.0,2009-06-30
SPLS,Staples,exact,0000791519,90.0,2008-08-02
SRCL,Stericycle,exact,0000861878,192.0,2009-03-31
STJ,St Jude Medical,exact,0000203077,100.0,2009-04-04
SVU,Supervalu,exact,0000095521,48.0,2008-09-06
SWN,Southwestern Energy,exact,0000007332,184.0,2008-06-30
SWY,Safeway,exact,0000086144,71.0,2008-03-22
TEG,Integrys Energy Group,exact,0000916863,54.0,2009-06-30
TGNA,Tegna,exact,0000039899,100.0,2008-06-29
TIF,Tiffany & Co,exact,0000098246,136.0,2009-07-31
TLAB,Tellabs,exact,0000317771,42.0,2009-07-03
TWC,Time Warner Cable,exact_ambiguous,0001377013,38.0,2009-03-31
TWTR,Twitter,exact,0001418091,52.0,2013-03-31
TWX,Time Warner,exact_ambiguous,0001105705,54.0,2008-06-30
TYC,Tyco International,exact_ambiguous,0001608109,1.0,2014-06-27
VAR,Varian Medical Systems,exact,0000203527,157.0,2008-06-27
VIAB,Viacom,exact_ambiguous,0000813828,202.0,2008-06-30
WCG,WellCare,exact_ambiguous,0001279363,120.0,2009-06-30
WFM,Whole Foods Market,exact_ambiguous,0000865436,72.0,2009-04-12
WFR,MEMC Electronic Materials,exact,0000945436,40.0,2008-06-30
WLTW,Willis Towers Watson,exact,0001140536,136.0,2010-03-31
WPX,WPX Energy,exact,0001518832,86.0,2014-03-31
WYN,Wyndham Worldwide,exact,0001361658,180.0,2009-06-30
X,United States Steel,exact,0001163302,104.0,2008-06-30
XEC,Cimarex Energy,exact,0001168054,82.0,2010-03-31
XL,XL Group,exact_ambiguous,0000875159,106.0,2009-06-30
XLNX,Xilinx,exact,0000743988,152.0,2009-06-27
YHOO,Yahoo!,exact_ambiguous,0001011006,104.0,2008-06-30
